serverTime,phoneTime,deviceId,lat,lon,acc,speed,ts
2018-02-07T17:27:10Z,2018-02-07T17:26:29Z,A6BD7A39,0,0,0,0,0
2018-02-07T17:39:13Z,2018-02-07T06:02:03Z,CA6F664B,0,0,0,0,0
2018-02-07T18:02:02Z,2018-02-07T18:01:29Z,A6BD7A39,0,0,0,0,0
2018-02-07T18:11:57Z,2018-02-07T18:11:23Z,DDA55D5D,0,0,0,0,0
2018-02-07T18:27:10Z,2018-02-07T18:26:29Z,A6BD7A39,0,0,0,0,0
2018-02-07T18:47:03Z,2018-02-07T18:46:28Z,DDA55D5D,0,0,0,0,0
2018-02-07T18:47:03Z,2018-02-07T18:46:29Z,A6BD7A39,0,0,0,0,0
2018-02-07T19:42:09Z,2018-01-27T19:41:23Z,DDA55D5D,0,0,0,0,0
2018-02-07T20:42:03Z,2018-02-07T20:36:24Z,A6BD7A39,0,0,0,0,0
2018-02-07T20:52:16Z,2018-02-07T20:51:24Z,A6BD7A39,0,0,0,0,0
2018-02-07T21:23:09Z,2018-02-07T21:21:25Z,A6BD7A39,0,0,0,0,0
2018-02-07T21:23:10Z,2018-02-07T21:21:28Z,DDA55D5D,0,0,0,0,0
2018-02-08T21:02:14Z,2018-02-08T21:00:07Z,DD6F9570,0,0,0,0,0
2018-02-08T18:42:10Z,2018-02-08T18:41:32Z,DDA55D5D,0,0,0,0,0
2018-02-08T18:57:15Z,2018-02-08T18:56:32Z,DDA55D5D,0,0,0,0,0
2018-02-08T19:07:09Z,2018-02-08T19:06:30Z,A6BD7A39,0,0,0,0,0
2018-02-08T19:37:04Z,2018-02-08T19:36:32Z,DDA55D5D,0,0,0,0,0
2018-02-08T20:37:01Z,2018-02-08T20:35:11Z,DD6F9570,0,0,0,0,0
2018-02-08T20:42:05Z,2018-02-08T20:41:31Z,DDA55D5D,0,0,0,0,0
2018-02-08T20:42:06Z,2018-02-08T20:41:31Z,A6BD7A39,0,0,0,0,0
2018-02-17T17:21:19Z,2018-02-17T17:20:23Z,A6BD7A39,0,0,0,0,0
2018-02-09T08:32:03Z,2018-02-09T08:31:31Z,7098A640,0,0,0,0,0
2018-02-17T18:15:39Z,2018-02-17T18:15:04Z,DDA55D5D,0,0,0,0,0
2018-02-10T00:27:32Z,2018-02-10T00:26:56Z,AC90F307,0,0,0,0,0
2018-02-10T19:52:33Z,2018-02-10T19:51:54Z,AC90F307,0,0,0,0,0
2018-02-10T20:07:27Z,2018-02-10T20:06:54Z,AC90F307,0,0,0,0,0
2018-02-10T20:17:30Z,2018-02-10T20:16:57Z,DDA55D5D,0,0,0,0,0
2018-02-10T21:25:29Z,2018-02-10T21:21:54Z,AC90F307,0,0,0,0,0
2018-02-10T23:20:47Z,2018-02-10T23:06:55Z,AC90F307,0,0,0,0,0
2018-02-10T23:22:31Z,2018-02-10T23:21:55Z,AC90F307,0,0,0,0,0
2018-02-11T03:18:41Z,2018-02-11T03:06:56Z,AC90F307,0,0,0,0,0
2018-02-11T03:22:34Z,2018-02-11T03:21:56Z,AC90F307,0,0,0,0,0
2018-02-11T13:45:23Z,2018-02-11T13:44:50Z,6026D52F,0,0,0,0,0
2018-02-11T14:46:52Z,2018-02-11T14:46:17Z,AC90F307,0,0,0,0,0
2018-02-11T15:46:52Z,2018-02-11T15:46:20Z,A6BD7A39,0,0,0,0,0
2018-02-11T17:22:05Z,2018-02-11T17:21:19Z,A6BD7A39,0,0,0,0,0
2018-02-11T18:21:52Z,2018-02-11T18:21:19Z,A6BD7A39,0,0,0,0,0
2018-02-11T18:21:52Z,2018-02-11T18:21:19Z,DDA55D5D,0,0,0,0,0
2018-02-11T18:42:00Z,2018-02-11T18:40:07Z,DD6F9570,0,0,0,0,0
2018-02-11T18:51:53Z,2018-02-11T18:51:20Z,A6BD7A39,0,0,0,0,0
2018-02-11T18:51:53Z,2018-02-11T18:51:19Z,DDA55D5D,0,0,0,0,0
2018-02-11T18:56:53Z,2018-02-11T18:56:18Z,AC90F307,0,0,0,0,0
2018-02-11T19:11:53Z,2018-02-11T19:11:18Z,AC90F307,0,0,0,0,0
2018-02-11T19:11:54Z,2018-02-11T19:11:19Z,DDA55D5D,0,0,0,0,0
2018-02-11T19:11:54Z,2018-02-11T19:11:20Z,A6BD7A39,0,0,0,0,0
2018-02-11T19:31:54Z,2018-02-11T19:31:19Z,A6BD7A39,0,0,0,0,0
2018-02-11T19:46:55Z,2018-02-11T19:46:19Z,A6BD7A39,0,0,0,0,0
2018-02-11T19:56:55Z,2018-02-11T19:56:18Z,AC90F307,0,0,0,0,0
2018-02-11T20:01:52Z,2018-02-11T20:01:19Z,A6BD7A39,0,0,0,0,0
2018-02-11T20:11:54Z,2018-02-11T20:11:18Z,AC90F307,0,0,0,0,0
2018-02-11T20:16:55Z,2018-02-11T20:16:19Z,DDA55D5D,0,0,0,0,0
2018-02-11T20:26:53Z,2018-02-11T20:26:18Z,AC90F307,0,0,0,0,0
2018-02-11T20:31:56Z,2018-02-11T20:31:20Z,DDA55D5D,0,0,0,0,0
2018-02-11T20:36:52Z,2018-02-11T20:36:19Z,A6BD7A39,0,0,0,0,0
2018-02-11T20:51:52Z,2018-02-11T20:51:19Z,A6BD7A39,0,0,0,0,0
2018-02-11T20:51:52Z,2018-02-11T20:51:18Z,DDA55D5D,0,0,0,0,0
2018-02-11T21:47:45Z,2018-02-11T21:41:19Z,AC90F307,0,0,0,0,0
2018-02-11T23:46:21Z,2018-02-11T23:31:18Z,AC90F307,0,0,0,0,0
2018-02-11T23:47:07Z,2018-02-11T23:46:18Z,AC90F307,0,0,0,0,0
2018-02-12T01:35:29Z,2018-02-12T01:31:18Z,AC90F307,0,0,0,0,0
2018-02-12T01:46:54Z,2018-02-12T01:46:18Z,AC90F307,0,0,0,0,0
2018-02-12T02:22:00Z,2018-02-12T02:21:18Z,AC90F307,0,0,0,0,0
2018-02-17T19:35:48Z,2018-02-17T19:35:14Z,DDA55D5D,0,0,0,0,0
2018-02-17T20:10:40Z,2018-02-17T20:10:04Z,A6BD7A39,0,0,0,0,0
2018-02-17T21:20:48Z,2018-02-17T21:20:14Z,DDA55D5D,0,0,0,0,0
2018-02-19T03:34:46Z,2018-02-19T03:24:09Z,AC90F307,0,0,0,0,0
2018-02-18T17:44:48Z,2018-02-18T17:44:08Z,A6BD7A39,0,0,0,0,0
2018-02-18T19:36:19Z,2018-02-18T15:36:22Z,AC90F307,0,0,0,0,0
2018-02-18T21:30:50Z,2018-02-18T21:24:08Z,AC90F307,0,0,0,0,0
2018-01-10T13:25:19Z,2018-01-10T13:25:16Z,7652354F,-26.11248869518383,28.053466505774857,64.0,-1.0,2018-01-10T13:25:16Z
2018-01-10T13:25:54Z,2018-01-10T13:25:19Z,E6E70D82,0,0,0,0,0
2018-01-10T13:25:13Z,2018-01-10T13:25:11Z,D76FF919,-26.112468013148526,28.053386840527892,65.0,-1.0,2018-01-10T13:25:12Z
2018-01-10T13:26:00Z,2018-01-10T13:25:16Z,C876ED24,-26.112490147300594,28.053498722178475,65.0,-1.0,2018-01-10T13:25:36Z
2018-01-10T13:25:28Z,2018-01-10T13:25:16Z,15FCA330,-26.112502526731173,28.053509765110107,65.0,-1.0,2018-01-10T13:25:26Z
2018-01-10T13:25:26Z,2018-01-10T13:25:19Z,5AF69CB6,-26.1125152638423,28.05347259823175,65.0,-1.0,2018-01-10T13:25:24Z
2018-01-10T13:25:39Z,2018-01-10T13:25:27Z,5785BFD2,-26.112513953417075,28.05345782177858,65.0,-1.0,2018-01-10T13:25:32Z
2018-01-10T13:25:26Z,2018-01-10T13:25:16Z,A180A583,-26.112502526731173,28.053509765110107,65.0,-1.0,2018-01-10T13:25:26Z
2018-01-10T13:25:44Z,2018-01-10T13:25:09Z,351cc11e,0,0,0,0,0
2018-01-10T13:27:29Z,2018-01-10T13:25:39Z,12804a2f,-26.112095,28.053242,32.0,0.0,2018-01-10T11:16:38Z
2018-01-10T13:25:47Z,2018-01-10T13:25:10Z,b4c93232,0,0,0,0,0
2018-01-10T13:25:44Z,2018-01-10T13:25:08Z,f350a138,0,0,0,0,0
2018-01-10T13:25:50Z,2018-01-10T13:25:19Z,26E26DE9,0,0,0,0,0
2018-01-10T13:27:11Z,2018-01-10T13:25:11Z,ae5c78cb,-26.112915,28.053648,48.0,0.0,2018-01-10T07:37:43Z
2018-01-10T13:27:18Z,2018-01-10T13:25:16Z,C795F1E7,-26.10847234438084,28.05386270397458,165.0,-1.0,2018-01-10T11:18:39Z
2018-01-10T13:25:53Z,2018-01-10T13:25:16Z,D55115F8,0,0,0,0,0
2018-01-10T13:25:28Z,2018-01-10T13:25:16Z,A81EF785,-26.112461367607416,28.053358596703976,65.0,-1.0,2018-01-10T13:25:27Z
2018-01-10T13:25:32Z,2018-01-10T13:25:16Z,25887E8C,-26.112447232284023,28.05331418778267,65.0,-1.0,2018-01-10T13:25:27Z
2018-01-10T13:25:45Z,2018-01-10T13:25:33Z,ec34a42e,0,0,0,0,0
2018-01-10T13:42:06Z,2018-01-10T13:25:16Z,f1da2d96,-26.103643,28.07145,16.08,9.04,2018-01-10T04:29:18Z
2018-01-10T14:12:19Z,2018-01-10T13:25:16Z,422A9457,-26.11246252354552,28.053410383556816,65.0,-1.0,2018-01-10T14:12:17Z
2018-01-10T14:14:15Z,2018-01-10T13:25:09Z,e8dd195b,-26.112825,28.053774,48.0,0.0,2018-01-10T07:49:55Z
2018-01-10T14:14:20Z,2018-01-10T13:25:24Z,b52767c5,-26.1129,28.053808,24.0,0.0,2018-01-10T06:30:44Z
2018-01-10T17:44:38Z,2018-01-10T17:44:05Z,351cc11e,0,0,0,0,0
2018-01-10T17:43:59Z,2018-01-10T17:43:26Z,351cc11e,0,0,0,0,0
2018-01-10T17:45:42Z,2018-01-10T17:45:07Z,351cc11e,0,0,0,0,0
2018-01-11T11:38:50Z,2018-01-11T11:38:17Z,EB0AADA7,0,0,0,0,0
2018-01-11T11:38:21Z,2018-01-11T11:38:19Z,422A9457,-26.112483821211658,28.05349927712913,65.0,-1.0,2018-01-11T11:38:19Z
2018-01-11T11:38:24Z,2018-01-11T11:38:17Z,7652354F,-26.112443678321586,28.053309558886294,65.0,-1.0,2018-01-11T11:38:23Z
2018-01-11T11:39:40Z,2018-01-11T11:38:17Z,E6E70D82,0,0,0,0,0
2018-01-11T11:38:50Z,2018-01-11T11:38:17Z,57acfecc,0,0,0,0,0
2018-01-11T11:39:28Z,2018-01-11T11:39:24Z,E9FE6957,-26.11254260906337,28.053511387344415,65.0,-1.0,2018-01-11T11:39:27Z
2018-01-11T11:40:31Z,2018-01-11T11:40:18Z,EAEB787E,-26.112553541507104,28.053509834834465,2000.0,-1.0,2018-01-11T11:40:30Z
2018-01-11T11:40:40Z,2018-01-11T11:40:08Z,FBE328CC,0,0,0,0,0
2018-01-11T11:39:58Z,2018-01-11T11:39:12Z,ffbdf931,0,0,0,0,0
2018-01-11T11:38:39Z,2018-01-11T11:38:35Z,43A24F38,-26.112494182976373,28.05347914116393,65.0,-1.0,2018-01-11T11:38:36Z
2018-01-11T11:39:39Z,2018-01-11T11:39:31Z,594883B6,-26.112600294866017,28.05336381846868,65.0,-1.0,2018-01-11T11:39:33Z
2018-01-11T11:38:24Z,2018-01-11T11:38:17Z,3D08FFA8,-26.11253322760734,28.0535036172255,65.0,-1.0,2018-01-11T11:38:23Z
2018-01-11T11:39:30Z,2018-01-11T11:39:20Z,B4693F66,-26.112518243667083,28.05328106828786,65.0,-1.0,2018-01-11T11:39:24Z
2018-01-11T11:38:21Z,2018-01-11T11:38:19Z,DBB4FDF7,-26.112493297641734,28.05346727484838,64.0,-1.0,2018-01-11T11:38:19Z
2018-01-11T11:38:51Z,2018-01-11T11:38:16Z,ee16db3d,0,0,0,0,0
2018-01-11T11:38:55Z,2018-01-11T11:38:22Z,DE99C068,0,0,0,0,0
2018-01-11T11:40:57Z,2018-01-11T11:40:50Z,3D08FFA8,-26.11254920529827,28.05351309139768,65.0,-1.0,2018-01-11T11:40:56Z
2018-01-11T11:38:59Z,2018-01-11T11:38:15Z,B30B5425,0,0,0,0,0
2018-01-11T11:40:18Z,2018-01-11T11:38:15Z,b4d3fb2c,-26.112524,28.053724,32.0,3.82,2018-01-11T07:32:21Z
2018-01-11T11:42:52Z,2018-01-11T11:42:50Z,B0605D29,-26.112499735677623,28.053462744369558,65.0,-1.0,2018-01-11T11:42:51Z
2018-01-11T11:38:59Z,2018-01-11T11:38:18Z,26E26DE9,0,0,0,0,0
2018-01-11T11:38:21Z,2018-01-11T11:38:18Z,D76FF919,-26.112494695166408,28.053432044814734,65.0,-1.0,2018-01-11T11:38:19Z
2018-01-11T11:40:39Z,2018-01-11T11:38:26Z,4ad7afa9,-26.112766,28.054377,14.0,6.6801867,2018-01-11T05:21:02Z
2018-01-11T11:43:28Z,2018-01-11T11:42:54Z,80E55C69,0,0,0,0,0
2018-01-11T11:38:16Z,2018-01-11T11:38:16Z,25887E8C,-26.112443435080777,28.053296252899294,65.0,-1.0,2018-01-11T11:38:16Z
2018-01-11T11:38:29Z,2018-01-11T11:38:22Z,BF872527,-26.112484914619042,28.053520017163315,65.0,-1.0,2018-01-11T11:38:27Z
2018-01-11T11:38:57Z,2018-01-11T11:38:18Z,162c6a76,0,0,0,0,0
2018-01-11T11:38:20Z,2018-01-11T11:38:19Z,09462293,-26.112493297641734,28.05346727484838,64.0,-1.0,2018-01-11T11:38:19Z
2018-01-11T11:39:07Z,2018-01-11T11:38:19Z,D55115F8,0,0,0,0,0
2018-01-11T11:39:56Z,2018-01-11T11:39:50Z,91938A8D,-26.11252446408955,28.053416857331303,65.0,-1.0,2018-01-11T11:39:53Z
2018-01-11T11:40:05Z,2018-01-11T11:39:56Z,D76FF919,-26.11249371804655,28.053425704479253,65.0,-1.0,2018-01-11T11:40:03Z
2018-01-11T11:40:19Z,2018-01-11T11:38:37Z,12804a2f,-26.11292,28.053741,48.0,0.0,2018-01-11T07:48:26Z
2018-01-11T11:40:23Z,2018-01-11T11:38:15Z,ae5c78cb,-26.112602,28.05335,48.0,3.4821963,2018-01-11T07:17:08Z
2018-01-11T11:42:24Z,2018-01-11T11:40:14Z,1717271e,-26.111406,28.053286,48.0,2.3046544,2018-01-11T09:53:21Z
2018-01-11T11:38:25Z,2018-01-11T11:38:19Z,C9063172,-26.112489836509386,28.053438123078635,65.0,-1.0,2018-01-11T11:38:25Z
2018-01-11T11:40:20Z,2018-01-11T11:40:17Z,21E819C4,-26.11252161574654,28.05347723115454,65.0,-1.0,2018-01-11T11:40:18Z
2018-01-11T11:40:19Z,2018-01-11T11:38:16Z,e84712d7,-26.112518,28.052689,10.5,0.51,2018-01-11T10:03:47Z
2018-01-11T11:39:04Z,2018-01-11T11:38:14Z,C92C9205,0,0,0,0,0
2018-01-11T11:40:24Z,2018-01-11T11:38:16Z,aeb037f5,-26.106573,28.074724,16.037209,0.28634563,2018-01-11T04:51:13Z
2018-01-11T11:39:49Z,2018-01-11T11:39:44Z,DFA6CD90,-26.112432000428345,28.053181125469862,98.96073215946294,-1.0,2018-01-11T11:39:47Z
2018-01-11T11:39:58Z,2018-01-11T11:39:25Z,5091C447,0,0,0,0,0
2018-01-11T11:41:44Z,2018-01-11T11:41:39Z,028336F8,-26.1124896890105,28.053427953113967,65.0,-1.0,2018-01-11T11:41:43Z
